,tokens,ner_tags
10,"['Международный', 'союз', 'биатлонистов', '(', 'IBU', ')', 'также', 'не', 'будет', 'применять', 'санкции', 'к', 'российским', 'биатлонистам', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
11,"['VSE', 'ONI', 'PRODOLZhAT', 'VYSTUPLENIE', 'NA', 'KUBKE', 'MIRA', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
12,"['politsija', 'nagrjanula', 'v', ""otel'"", 'sbornoj', 'proezd', 'litki', 'd.', '430/85', 'o.', '210', 'v', 'ukrainka', 'vecherom', '12', 'dekabrja', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_STREET', 'B-DMN_HOUSE', 'I-DMN_HOUSE', 'I-DMN_HOUSE', 'L-DMN_HOUSE', 'O', 'U-DMN_CITY', 'O', 'O', 'O', 'O']"
13,"['Как', 'написал', 'биатлонист', 'Морщаков', 'Палладиевич', 'Всеволодович', 'Стоян', ',', 'их', 'считают', 'виновными', 'в', 'махинациях', 'с', 'переливанием', 'крови', '.']","['O', 'O', 'O', 'U-DMN_LAST_NAME', 'U-DMN_MIDDLE_NAME', 'U-DMN_MIDDLE_NAME', 'U-DMN_FIRST_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14,"['Биатлонисту', 'Абалкину', 'Кёрген-оолу', 'Наркисовну', ',', 'также', 'попавшему', 'в', 'список', ',', 'полиция', 'нанесла', 'отдельный', 'визит', ':', 'сейчас', 'он', 'тренируется', 'отдельно', 'в', 'австрийском', 'Новгородская', 'обл', '.']","['O', 'U-DMN_LAST_NAME', 'U-DMN_FIRST_NAME', 'U-DMN_MIDDLE_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_REGION', 'O', 'O']"
15,"['Обвинения', 'спортсмен', 'назвал', 'бредом', ',', 'а', 'также', 'указал', 'на', '«', 'охоту', 'на', 'ведьм', '»', 'в', 'мировом', 'биатлоне', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
16,"['В', 'Ракеная', 'д,', '807', 'Ртищево', '279766', 'прием', 'допинга', '—', 'уголовное', 'преступление', '.']","['O', 'U-DMN_STREET', 'B-DMN_HOUSE', 'L-DMN_HOUSE', 'U-DMN_CITY', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
17,"['максимальное', 'наказание', 'за', 'его', 'употребление', '—', 'три', 'года', 'тюрьмы', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18,"['Сотрудники', 'социальной', 'сети', 'Instagram', 'проанализировали', 'поставленные', 'пользователями', 'смайлики', ',', 'геолокации', 'и', 'хештеги', 'и', 'опубликовали', 'итоги', '2018', 'года', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19,"['Об', 'этом', 'сообщается', 'на', 'официальном', 'сайте', 'Instagram', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20,"['ТАКИМ', 'ОБРАЗОМ', ',', 'САМОЙ', 'СЧАСТЛИВОЙ', 'ГЕОЛОКАЦИЕЙ', 'INSTAGRAM', 'ПРИЗНАЛ', 'КНЯЖЕСТВО', 'АНДОРРА', 'В', 'САХАЛИНСКАЯ', 'ОБЛ', ',', 'ТАК', 'КАК', 'БОЛЬШЕ', 'ВСЕГО', 'СЧАСТЛИВЫХ', 'СМАЙЛИКОВ', 'В', '2018', 'ГОДУ', 'ПОЛЬЗОВАТЕЛИ', 'СТАВИЛИ', 'ИМЕННО', 'ПОД', 'ФОТОГРАФИЯМИ', 'ИЗ', 'ЯПОНСКОГО', 'КВАРТАЛА', 'ИТК-2', 'СТР.', '204', 'ОФИСА', '251', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DMN_COUNTRY', 'L-DMN_COUNTRY', 'O', 'U-DMN_REGION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DMN_STREET', 'L-DMN_STREET', 'B-DMN_HOUSE', 'I-DMN_HOUSE', 'I-DMN_HOUSE', 'L-DMN_HOUSE', 'O']"
21,"['Также', 'эксперты', 'назвали', 'самый', 'популярный', 'фильтр', 'для', 'лица', ':', 'им', 'стал', 'фильтр', 'с', 'сердечками', 'на', 'глазах', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
22,"['А', ',', 'например', ',', 'самыми', 'часто', 'используемыми', 'хештегами', 'в', '2018', 'году', 'были', '#', 'metoo', ',', '#', 'timesup', 'и', '#', 'marchforourlives', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
23,"['В', 'ноябре', 'сотрудники', 'британской', 'ассоциации', 'потребителей', 'Which', '?', 'составили', 'рейтинг', 'самых', 'безопасных', 'стран', 'для', 'путешествий', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
24,"['Специалисты', 'проанализировали', '20', 'самых', 'популярных', 'туристических', 'направлений', 'по', 'четырем', 'критериям', ':', 'уровень', 'преступности', ',', 'угроза', 'здоровью', ',', 'вероятность', 'теракта', 'и', 'стихийных', 'бедствий', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
25,"['Samoj', 'bezopasnoj', 'stranoj', 'po', 'vsem', 'parametram', 'stala', 'Ulitsa', 'Nardugan', '562', 'Kv.', '461', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_STREET', 'B-DMN_HOUSE', 'I-DMN_HOUSE', 'L-DMN_HOUSE', 'O']"
26,"['С', 'начала', 'расследования', 'российского', 'вмешательства', 'в', 'выборы', 'власти', 'Починковский', 'потратили', 'более', '25', 'миллионов', 'долларов', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_DISTRICT', 'O', 'O', 'O', 'O', 'O', 'O']"
27,"['об', 'этом', 'сообщает', 'associated', 'press', 'со', 'ссылкой', 'на', 'отчет', 'министерства', 'юстиции', 'ул', 'зеленова', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_STREET', 'O']"
28,"['в', 'документе', 'содержатся', 'данные', 'о', 'расходах', 'на', 'следствие', 'с', 'апреля', 'по', 'сентябрь', '2018', 'года', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
29,"['За', 'эти', 'полгода', 'было', 'потрачено', '4,6', 'миллиона', 'долларов', ',', 'из', 'которых', 'почти', '3', 'миллиона', 'долларов', 'ушли', 'на', 'зарплату', 'сотрудников', ',', '580', 'тысяч', '—', 'на', 'поездки', 'и', 'сопутствующие', 'расходы', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
30,"['РАНЕЕ', 'МИНЮСТ', 'СОСНОВЫЙ', 'БОР', 'УЖЕ', 'ПУБЛИКОВАЛ', 'ОТЧЕТЫ', 'О', 'ЗАТРАТАХ', 'НА', 'ДЕЛО', 'О', 'РОССИЙСКОМ', 'ВМЕШАТЕЛЬСТВЕ', 'ЗА', 'ПРЕДЫДУЩИЕ', 'МЕСЯЦЫ', '.']","['O', 'O', 'B-DMN_CITY', 'L-DMN_CITY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
31,"['11', 'декабря', 'расследование', 'спецпрокурора', 'Саттара', 'Захарьина', 'Романовича', 'Ависа', 'Черепенника', 'показало', ',', 'что', 'по', 'меньшей', 'мере', '14', 'человек', 'из', 'окружения', 'президента', '14-й', 'проезд', 'Марьиной', 'рощи', 'Д', '477/90', 'Заполярный', 'Иконга', 'Власиевича', 'контактировали', 'с', 'россиянами', 'во', 'время', 'его', 'избирательной', 'кампании', 'и', 'последующего', 'переходного', 'периода', 'перед', 'вступлением', 'в', 'должность', 'главы', 'государства', '.']","['O', 'O', 'O', 'O', 'U-DMN_FIRST_NAME', 'U-DMN_LAST_NAME', 'U-DMN_MIDDLE_NAME', 'U-DMN_FIRST_NAME', 'U-DMN_LAST_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_STREET', 'O', 'B-DMN_STREET', 'L-DMN_STREET', 'B-DMN_HOUSE', 'L-DMN_HOUSE', 'U-DMN_CITY', 'U-DMN_FIRST_NAME', 'U-DMN_MIDDLE_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
32,"['Леонтьев', 'Умахан', 'Федосеевич', 'с', '2017', 'года', 'ведет', 'дело', 'о', 'якобы', 'российском', 'вмешательстве', 'в', 'американские', 'выборы', 'в', '2016-м', '.']","['U-DMN_LAST_NAME', 'U-DMN_FIRST_NAME', 'U-DMN_MIDDLE_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
33,"['PERED', 'NIM', 'POSTAVLENA', 'ZADAChA', ""VYJaSNIT'"", ',', 'BYL', 'LI', 'SGOVOR', 'MEZhDU', 'ShTABOM', 'URMA', 'I', 'BROShNOVOJ-OSADOJ', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_FIRST_NAME', 'O', 'U-DMN_CITY', 'O']"
34,"['ASTRAHANSKAJa', 'I', 'RESPUBLIKA', 'MARIJ', 'EL', 'PENZENSKAJa', 'OTVERGAJuT', 'VSE', 'OBVINENIJa', '.']","['U-DMN_REGION', 'O', 'O', 'B-DMN_REGION', 'L-DMN_REGION', 'U-DMN_REGION', 'O', 'O', 'O', 'O']"
35,"['respubliku', 'mordoviju', 'neodnokratno', 'obvinjali', 'vo', ""vmeshatel'stve"", 'v', 'vybory', 'prezidenta', 'verbovyj', 'per', 's', ""pomosch'ju"", 'hakerov', '.']","['O', 'U-DMN_REGION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_STREET', 'O', 'O', 'O', 'O', 'O']"
36,"['В', 'июне', 'спецслужбы', 'выдвинули', 'заочное', 'обвинение', '12', 'российским', 'разведчикам', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
37,"['По', 'данным', 'спецслужб', 'Сенегал', ',', 'российская', 'разведка', 'использовала', 'две', 'хакерские', 'группировки', 'для', 'взлома', 'серверов', 'Демократической', 'партии', '.']","['O', 'O', 'O', 'U-DMN_COUNTRY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
38,"['ХАКЕРСКАЯ', 'ГРУППИРОВКА', 'ANONYMOUS', 'ОПУБЛИКОВАЛА', 'НОВЫЕ', 'ДОКУМЕНТЫ', 'О', 'ДЕЯТЕЛЬНОСТИ', 'БРИТАНСКОГО', 'АНАЛИТИЧЕСКОГО', 'ЦЕНТРА', 'INTEGRITY', 'INITIATIVE', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
39,"['Из', 'материалов', 'следует', ',', 'что', 'центр', 'получает', 'финансирование', 'от', 'некого', 'Института', 'государственного', 'управления', 'под', 'руководством', 'Варламовича', 'Мишигма', 'Свиридченкова', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_MIDDLE_NAME', 'U-DMN_FIRST_NAME', 'U-DMN_LAST_NAME', 'O']"
40,"['Хакеры', 'выложили', 'в', 'открытый', 'доступ', 'его', 'паспорт', ',', 'резюме', ',', 'а', 'также', 'сведения', 'о', 'его', 'связях', 'с', 'Министерством', 'обороны', 'Узбекистан\tРеспублика', 'Узбекистан', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DMN_COUNTRY', 'L-DMN_COUNTRY', 'O']"
41,"['Согласно', 'документам', ',', 'в', '2014', 'году', 'Лац', 'выдвинул', 'ряд', 'предложений', 'британским', 'властям', 'в', 'связи', 'с', 'ситуацией', 'в', 'Республика', 'Гаити', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_FIRST_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DMN_COUNTRY', 'L-DMN_COUNTRY', 'O']"
42,"['В', 'частности', ',', 'он', 'планировал', 'заминировать', 'Тамбовскую', 'район', 'Питомниковая', 'улицу', ',', 'окружить', 'полуостров', 'войсками', ',', 'а', 'также', 'уничтожить', 'оставшиеся', 'в', 'Выксунский', 'р-н', 'самолеты', '«', 'в', 'знак', 'серьезности', 'намерений', '»', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_DISTRICT', 'O', 'U-DMN_STREET', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_DISTRICT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
43,"['POSLE', 'PUBLIKATsII', 'ZAMETKI', ""ChAST'"", 'DOKUMENTOV', ',', 'NA', 'KOTORYE', 'ChLENY', 'GRUPPIROVKI', 'SSYLAJuTSJa', 'V', 'SVOEM', 'RASSLEDOVANII', ',', 'BYLA', 'UDALENA', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
44,"['Также', 'хакеры', 'утверждают', ',', 'что', 'Иустиновна', 'был', 'инициатором', 'расследования', '«', 'российского', 'вмешательства', '»', 'в', 'референдум', 'о', 'независимости', 'в', 'Черноморский', '.']","['O', 'O', 'O', 'O', 'O', 'U-DMN_MIDDLE_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_DISTRICT', 'O']"
45,"['ОН', 'ПРИГЛАСИЛ', 'ЧЛЕНОВ', 'ИСПАНСКОГО', 'ОТДЕЛЕНИЯ', 'INTEGRITY', 'INITIATIVE', 'В', 'КАЧЕСТВЕ', 'СВИДЕТЕЛЕЙ', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
46,"['По', 'данным', 'группировки', ',', 'Горемыкина', 'получал', 'деньги', 'на', 'это', 'от', 'Министерства', 'иностранных', 'дел', 'Алапаевск', '.']","['O', 'O', 'O', 'O', 'U-DMN_LAST_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_CITY', 'O']"
47,"['«', 'британская', 'разведка', 'платила', 'собственным', 'агентам', 'за', 'фальшивые', 'доказательства', 'вмешательства', 'мильковский', 'район', 'в', 'каталонский', 'референдум', ',', 'а', 'затем', 'приказала', 'им', 'солгать', 'в', 'парламенте', 'с', 'целью', 'убедить', 'их', 'предпринять', 'антироссийские', 'шаги', '»', ',', '—', 'пишут', 'хакеры', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_DISTRICT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
48,"['члены', 'anonymous', 'опубликовали', 'только', 'часть', 'документов', ',', 'связанных', 'с', 'деятельностью', 'нерсеса', 'филимоновича', 'чуука', 'мурмановская', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_FIRST_NAME', 'U-DMN_MIDDLE_NAME', 'U-DMN_FIRST_NAME', 'U-DMN_LAST_NAME', 'O']"
49,"['Если', 'расследование', 'Нефтеюганск', 'в', 'отношении', 'Integrity', 'Initiative', 'не', 'даст', 'результатов', ',', 'они', 'пригрозили', 'выложить', 'новые', 'доказательства', 'того', ',', 'что', 'Беспалова', 'тесно', 'взаимодействует', 'с', 'британскими', 'спецслужбами', 'и', 'использует', 'свое', 'положение', 'для', 'влияния', 'на', 'политику', 'страны', '.']","['O', 'O', 'U-DMN_CITY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_LAST_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
50,"['23', 'NOJaBRJa', 'ANONYMOUS', 'VPERVYE', 'OPUBLIKOVALI', 'DOKUMENTY', 'INTEGRITY', 'INITIATIVE', ',', 'KOTORYE', 'SODERZhAT', 'INSTRUKTsII', 'PO', ""BOR'BE"", 'S', 'ROSSIJSKOJ', 'PROPAGANDOJ', 'I', 'PRIMERY', 'DEZINFORMATsII', 'SO', 'STORONY', 'BAR', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_CITY', 'O']"
51,"['Hakery', 'utverzhdajut', ',', 'chto', 'etot', 'proekt', 'finansiruetsja', ""pravitel'stvom"", 'Omskaja', 'obl', 'i', 'rabotaet', 'srazu', 'v', ""neskol'kih"", 'stranah', ',', 'v', 'tom', 'chisle', 'v', 'ul', 'Abu-Muslima', 'Ataevoj', 'Str.', '571', 'Kv.', '15', ',', 'Marganets', ',', 'Labaznaja', 'ul', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_REGION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DMN_STREET', 'L-DMN_STREET', 'B-DMN_HOUSE', 'I-DMN_HOUSE', 'I-DMN_HOUSE', 'L-DMN_HOUSE', 'O', 'U-DMN_CITY', 'O', 'U-DMN_STREET', 'O', 'O']"
52,"['ARHIEPISKOP', 'KANONIChESKOJ', 'UKRAINSKOJ', 'PRAVOSLAVNOJ', 'TsERKVI', 'MOSKOVSKOGO', 'PATRIARHATA', '(', 'UPTs', 'MP', ')', 'OVDOKIM', 'OTKAZALSJa', ""UChASTVOVAT'"", 'V', '«', ""OB'EDINITEL'NOM"", 'SOBORE', '»', 'PO', 'PRIGLAShENIJu', 'VSELENSKOGO', 'PATRIARHA', ""VONIFAT'EVIChA"", 'RAZUMKOV', 'ADLO', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_LAST_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_MIDDLE_NAME', 'U-DMN_LAST_NAME', 'U-DMN_FIRST_NAME', 'O']"
53,"['on', 'nazval', 'eto', 'meroprijatie', '«', 'soborom', 'nechestivyh', '»', 'i', '«', 'sataninskim', 'sborischem', '»', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
54,"['об', 'этом', 'говорится', 'в', 'его', 'письме', ',', 'выдержки', 'из', 'которого', 'публикует', '«', 'страна', '»', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
55,"[""SVJaSchENNOSLUZhITEL'"", 'PODChERKNUL', ',', 'ChTO', 'ARHIEREI', 'UPTs', 'MP', 'PROTIV', 'ETOGO', 'SOBRANIJa', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
56,"['«', 'Если', 'Вы', 'называете', 'себя', 'Матерью', 'всех', 'Церквей', ',', 'то', 'почему', 'Вы', 'отдали', 'на', 'поругание', 'наши', 'Православные', 'святыни', ',', 'на', 'растерзание', 'истинную', 'Православную', 'Церковь', 'наших', 'братьев', 'сослужителей', ',', 'допустили', 'мучение', 'и', 'пытание', 'священников', '?', '»', '—', 'написал', 'Полянский', 'Дьаркын', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_LAST_NAME', 'U-DMN_FIRST_NAME', 'O']"
57,"['В', 'своем', 'послании', 'он', 'также', 'осудил', 'снятие', 'анафемы', 'с', 'предстоятеля', 'неканонической', 'УПЦ', 'Киевского', 'патриархата', 'Говядин', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_LAST_NAME', 'O']"
58,"['«', 'То', ',', 'что', 'произошло', 'на', 'синоде', 'в', 'Рузаевский', ',', 'шокировало', 'весь', 'Православный', 'мир', '»', ',', '—', 'отметил', 'архиепископ', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DMN_DISTRICT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
59,"['«', 'Объединительный', 'собор', '»', ',', 'инициированный', 'президентом', '28-я', 'СНТ', 'Зари', 'Д.', '130/36', 'Кв.', '612', 'Березовским', 'Максимильяновичем', 'Гулшара', 'Нефёдовна', 'и', 'патриархом', 'Аскольдовичем', 'Стрельниковым', 'Сейраном', ',', 'пройдет', '15', 'декабря', 'в', 'Софийском', 'соборе', '9-я', 'Канатная', 'ул', 'Дома', '363/86', 'Офиса', '992', ',', 'передает', 'РИА', 'Новости', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DMN_STREET', 'I-DMN_STREET', 'L-DMN_STREET', 'B-DMN_HOUSE', 'I-DMN_HOUSE', 'I-DMN_HOUSE', 'L-DMN_HOUSE', 'U-DMN_LAST_NAME', 'U-DMN_MIDDLE_NAME', 'U-DMN_FIRST_NAME', 'U-DMN_MIDDLE_NAME', 'O', 'O', 'U-DMN_MIDDLE_NAME', 'U-DMN_LAST_NAME', 'U-DMN_FIRST_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DMN_STREET', 'L-DMN_STREET', 'O', 'B-DMN_HOUSE', 'I-DMN_HOUSE', 'I-DMN_HOUSE', 'L-DMN_HOUSE', 'O', 'O', 'O', 'O', 'O']"
60,"['На', 'нем', 'изберут', 'предстоятеля', '«', 'единой', 'церкви', '»', 'и', 'примут', 'ее', 'устав', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
